"Image Filename","Alt Text (v0: base prompt)","Alt Text (v1: With image classification)","Alt Text (v2: With image classification and workflow)","Alt Text (v3: With extended image classification and workflow)","Alt Text (v4: with extended image classification, workflow and security)"
"1.png","Road leading to city, person with '%', compass with '2%', EU stars in background. Blue and white theme.","Road to city skyline with a woman holding '%' and a compass showing '2%'.","Illustration of a person holding a percentage symbol, facing a stylized city skyline, with a compass showing '2%'.","Woman holding percentage symbol, compass labeled '2%', European backdrop with skyscraper and stars.",""
"10.png","Circular icon with 'EN' and a hamburger menu, indicating English language selection.","Open English menu.","Open menu.","Select English.",""
"11.png","Blue icon with white 'share' symbol of connected dots, for sharing options.","Share content.","Share content.","Network symbol representing sharing or connectivity.",""
"12.png","","","","",""
"13.png","Graphic about inflation settling at 2%, with euro area projections for 2025. Yellow line separates text.","We expect inflation to settle at around our 2% target. Projections for euro area inflation in 2025 and beyond.","Inflation to settle at 2%. Projections for euro area inflation in 2025 and beyond.","Message: 'We expect inflation to settle at around our 2% target.' Below is text about projections for euro area inflation.",""
"2.png","Person with dark hair carrying a % symbol walks down blue stairs under a cloudy sky.","A stylized person carrying a percentage symbol down stairs against a clouded sky background.","Illustration of a person walking downward on floating steps holding a percentage symbol.","Person walking up a floating blue staircase while holding a percentage symbol, symbolizing financial progress.",""
"3.png","Man in suit pondering finance and growth with a globe and thought bubbles of trade and currency symbols.","Person in contemplation with thought bubbles showing economic symbols like coins and euro with upward arrow.","Person contemplating economic issues with symbols of trade and financial growth in thought bubbles.","Man in suit contemplating, with thought bubbles showing finance, trade, security, and Euro growth concepts.",""
"4.png","Deflated EU flag hot air balloon with icons of handshake, shopping cart, and government building on gas canisters.","Deflated hot air balloon with EU flag; gas canisters labeled with business, commerce, and government icons.","Deflated EU flag hot air balloon linked to canisters labeled with commerce, trade, and governance icons.","Deflated EU balloon with stars, attached to gas canisters symbolizing trade, retail, and governance.",""
"5.png","Stylized illustration with a 2% filled thermometer, people dining, carrying plants, shopping, and climbing outdoors.","Large thermometer at 2% surrounded by people in everyday activities, emphasizing motion and interaction.","Illustration of economic activity with thermometer marked at 40% and '2%' text, featuring people interacting outdoors.","Illustration of a thermometer marked at 2% with people engaging in sustainable activities like recycling and energy work.",""
"6.png","Graph: Euro area growth projections, 2024-2027. Growth rates: 2024 - 0.8%, 2025 - 1.2%, 2026 - 1.0%, 2027 - 1.3%.","Euro area economic growth projections from 2024 to 2027: 2024: 0.8%, 2025: 1.2%, 2026: 1.0%, 2027: 1.3%.","Euro area growth projections: 2024 - 0.8%, 2025 - 1.2%, 2026 - 1.0%, 2027 - 1.3%.","Projected euro area growth: 0.8% in 2024, 1.2% in 2025, 1.0% in 2026, 1.3% in 2027. Slight growth fluctuations.",""
"7.png","Graph shows euro inflation rates: 2.4% (2024), 2.1% (2025), 1.7% (2026), 1.9% (2027) vs a 2% target.","Euro area inflation: 2024 at 2.4%, 2025 at 2.1%, 2026 at 1.7%, 2027 at 1.9%. 2% target line shown.","Line graph of euro area inflation projections from 2024 to 2027, showing a trend around the 2% target.","",""
"8.png","European Central Bank logo with a euro symbol in yellow and stars on a blue circle background.","Euro symbol and stars logo representing European financial or economic institution.","European Central Bank logo.","European Central Bank logo.",""
"9.png","Blue magnifying glass icon on light blue background, used as a search icon.","Search.","Search.","Search.",""
